lat,lon,dist,time,speed
50.264222,19.002588,651.0559877224864,98,8.30992946261082
50.264195,19.002694,659.1757994449717,99,8.120713232752989
50.264165,19.002798,667.2951360149167,100,8.119369146432819
50.264128,19.002898,675.5172677363649,101,8.22226605291052
50.264097,19.003001,683.6185931070559,102,8.10142911848275
50.26406,19.003094,691.4136093558111,103,7.795176605976216
50.264008,19.003177,699.6836314621771,104,8.270247072475094
50.263903,19.003336,715.9514888682,106,8.134362430189213
50.263854,19.003422,724.1494228283622,107,8.199418102230142
50.263803,19.003504,732.2907762762281,108,8.143212631577217
50.263751,19.003584,740.4097274053812,109,8.119696265105949
50.263648,19.003752,756.9745322473665,111,8.283662844011994
50.263598,19.003837,765.19447096974,112,8.2202900556839
50.263548,19.003918,773.2072715852282,113,8.012833625102175
50.263497,19.003997,781.197024801424,114,7.989765481896913
50.263443,19.004075,789.3789968026066,115,8.182271434518306
50.263391,19.00415,797.2525748855522,116,7.873584433296003
50.263343,19.004228,804.957175682086,117,7.704776274100902
50.2633,19.004308,812.3951052581043,118,7.4379941770485045
50.263263,19.004378,818.858740655322,119,6.463683744442099
50.263243,19.004442,823.9281804141398,120,5.069443309504734
50.26323,19.004487,827.4422932397159,121,3.514117947775667
50.263196,19.004546,833.095011929596,123,2.8263668192097735
50.263173,19.004635,839.926406773439,125,3.4157056559547487
50.263154,19.004753,848.585842029172,127,4.338442086401267
50.263085,19.005051,871.1404559776632,130,7.519539254247157
50.26305,19.005156,879.5673176846271,131,8.427579618626819
50.263029,19.005267,887.8050226541304,132,8.239088794556064
50.263007,19.00537,895.5330841093651,133,7.7286828021263325
50.262982,19.005471,903.2404899908706,134,7.707525830139455
50.262956,19.005568,910.7254995396688,135,7.485908358081868
50.262932,19.005664,918.060950164314,136,7.335747532910873
50.26291,19.005764,925.5868450830013,137,7.527070036018257
50.262892,19.005866,933.1169393809697,138,7.531879986848942
50.262876,19.005972,940.8676209047516,139,7.750836411839281
50.26286,19.006075,948.4106894351808,140,7.54326904297812
50.262843,19.00617,955.4310345408603,141,7.022678007914003
50.262829,19.006266,962.4381785154704,142,7.010026225408506
50.262813,19.006361,969.4293419388467,143,6.9934802503727695
50.262789,19.006448,976.172371155008,144,6.746175139292211
50.262761,19.006534,983.0404079367806,145,6.871886875944717
50.262734,19.006613,989.4153032840019,146,6.380610526275968
50.26271,19.006686,995.2569479140137,147,5.849811363056579
50.262689,19.006755,1000.6952800441354,148,5.449012512145106
50.262668,19.006819,1005.8146348351044,149,5.131169211380247
50.262648,19.006881,1010.756654825422,150,4.953092224529926
50.262628,19.006943,1015.6986764697155,151,4.951986867174136
50.262601,19.007015,1021.6389295625705,152,5.947279025501801
50.262576,19.007102,1028.426859677734,153,6.7955158927298935
50.26256,19.007197,1035.4180578259686,154,6.997251785371208
50.262542,19.007295,1042.674208573068,155,7.259576617450257
50.262523,19.007396,1050.1664449151574,156,7.494053002596499
50.262504,19.007494,1057.4541267378488,157,7.287691702369629
50.262481,19.007592,1064.8832730005058,158,7.429146262657102
50.262458,19.007688,1072.178979916721,159,7.2959067570321965
50.262435,19.007781,1079.2751734409844,160,7.099011377213058
50.262394,19.007967,1093.2763740728328,162,7.0010460492213795
50.262375,19.008062,1100.3600432934043,163,7.084702578547058
50.262357,19.008158,1107.4795356479879,164,7.122000588807499
50.262324,19.008243,1114.556554577668,165,7.0788958129817665
50.262287,19.008327,1121.8159044564131,166,7.261112907952648
50.262236,19.008391,1129.0942938690448,167,7.278818134965921
50.262178,19.008443,1136.536110059182,168,7.44199786400057
50.262122,19.008493,1143.7140039018575,169,7.178433256409125
50.262063,19.008537,1150.9900720396422,170,7.276395298888351
50.262004,19.008582,1158.2970493228033,171,7.3073519839018415
50.261946,19.008631,1165.635050856581,172,7.339745670643196
50.261766,19.008791,1188.6817389041182,175,7.684653328120124
50.261708,19.008849,1196.3448581383507,176,7.6639971554055695
50.261654,19.00889,1203.0268052295476,177,6.6827563871171884
50.261604,19.008928,1209.2149458923775,178,6.188145834009512
50.261557,19.008965,1215.0721796352423,179,5.857233742864811
50.261442,19.009203,1236.3031744723007,182,7.077278688962665
50.261406,19.009314,1245.160895410079,183,8.85778619134363
50.261323,19.009515,1262.1896490125428,185,8.514771653623747
50.26128,19.009617,1270.884689593155,186,8.695390428180449
50.261241,19.009713,1278.9792937954655,187,8.09482656961006
50.261204,19.009806,1286.7746469574552,188,7.797120424883947
50.26117,19.009901,1294.5227012443502,189,7.7495845845227525
50.261131,19.009984,1301.8533021609308,190,7.332015125337053
50.26109,19.010065,1309.205807258254,191,7.354447104042776
50.261053,19.010151,1316.5829308451785,192,7.379647784058301
50.261018,19.010237,1323.8381052244313,193,7.2566837655617435
50.260983,19.010319,1330.8548164258198,194,7.018698247088954
50.260949,19.010397,1337.5732925389957,195,6.72088694171499
50.260911,19.010472,1344.3837434503464,196,6.811952041516344
50.260874,19.010547,1351.1256188346729,197,6.742602220047367
50.260838,19.01062,1357.686807309203,198,6.5612013532816995
50.260807,19.010699,1364.2835336764504,199,6.596847638405634
50.260772,19.010781,1371.3002663762052,200,7.016777236011557
50.260735,19.01086,1378.2696883154313,201,6.9694451835827245
50.260703,19.010938,1384.8653301870934,202,6.595923945833748
50.26067,19.011021,1391.8212649612199,203,6.956360943906051
50.260631,19.0111,1398.9245436827293,204,7.103461803617275
50.26059,19.011176,1406.0015695669913,205,7.078658020169864
50.260552,19.01126,1413.3248315498392,206,7.324311713016286
50.260517,19.011345,1420.520127865405,207,7.195300762914098
50.26048,19.011423,1427.4322932440382,208,6.912174131311947
50.260444,19.011504,1434.4529272117597,209,7.020834018029819
50.260409,19.011589,1441.648235057797,210,7.195358503872114
50.260377,19.011674,1448.6683281006983,211,7.02014119024631
50.260349,19.011756,1455.2842375464788,212,6.61622874413881
50.260319,19.011835,1461.8234678244064,213,6.539299093004128
50.260287,19.011912,1468.3593688704943,214,6.536254775041642
50.260253,19.011987,1474.902619157224,215,6.54326984884389
50.260215,19.012056,1481.3839127124916,216,6.481341770771944
50.260188,19.012165,1489.7030266515708,218,4.1595599746662355
